filename,true_class,predicted_class,confidence,correct
Common Duckweeds (Lemna minor)\augmented_image_873.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8128106,True
Common Duckweeds (Lemna minor)\augmented_image_874.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.81734574,True
Common Duckweeds (Lemna minor)\augmented_image_875.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80688167,True
Common Duckweeds (Lemna minor)\augmented_image_876.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8099283,True
Common Duckweeds (Lemna minor)\augmented_image_877.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80456734,True
Common Duckweeds (Lemna minor)\augmented_image_878.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.81392074,True
Common Duckweeds (Lemna minor)\augmented_image_879.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8147504,True
Common Duckweeds (Lemna minor)\augmented_image_88.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7908569,True
Common Duckweeds (Lemna minor)\augmented_image_880.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.81392074,True
Common Duckweeds (Lemna minor)\augmented_image_881.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8025683,True
Common Duckweeds (Lemna minor)\augmented_image_882.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80237204,True
Common Duckweeds (Lemna minor)\augmented_image_883.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7980562,True
Common Duckweeds (Lemna minor)\augmented_image_884.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79324704,True
Common Duckweeds (Lemna minor)\augmented_image_885.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79324704,True
Common Duckweeds (Lemna minor)\augmented_image_886.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7986226,True
Common Duckweeds (Lemna minor)\augmented_image_887.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8021054,True
Common Duckweeds (Lemna minor)\augmented_image_888.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7855108,True
Common Duckweeds (Lemna minor)\augmented_image_889.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7855108,True
Common Duckweeds (Lemna minor)\augmented_image_89.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79142386,True
Common Duckweeds (Lemna minor)\augmented_image_890.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7904962,True
Common Duckweeds (Lemna minor)\augmented_image_891.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7904962,True
Common Duckweeds (Lemna minor)\augmented_image_892.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79392165,True
Common Duckweeds (Lemna minor)\augmented_image_893.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79392165,True
Common Duckweeds (Lemna minor)\augmented_image_894.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79648715,True
Common Duckweeds (Lemna minor)\augmented_image_895.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79731816,True
Common Duckweeds (Lemna minor)\augmented_image_896.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78461415,True
Common Duckweeds (Lemna minor)\augmented_image_897.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78461415,True
Common Duckweeds (Lemna minor)\augmented_image_898.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7840584,True
Common Duckweeds (Lemna minor)\augmented_image_899.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7922419,True
Common Duckweeds (Lemna minor)\augmented_image_9.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8083259,True
Common Duckweeds (Lemna minor)\augmented_image_90.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79388463,True
Common Duckweeds (Lemna minor)\augmented_image_900.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7953826,True
Common Duckweeds (Lemna minor)\augmented_image_901.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78540504,True
Common Duckweeds (Lemna minor)\augmented_image_902.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7881133,True
Common Duckweeds (Lemna minor)\augmented_image_903.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78675663,True
Common Duckweeds (Lemna minor)\augmented_image_904.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78546584,True
Common Duckweeds (Lemna minor)\augmented_image_905.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8047739,True
Common Duckweeds (Lemna minor)\augmented_image_906.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80295706,True
Common Duckweeds (Lemna minor)\augmented_image_907.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7999464,True
Common Duckweeds (Lemna minor)\augmented_image_908.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.807058,True
Common Duckweeds (Lemna minor)\augmented_image_909.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8015609,True
Common Duckweeds (Lemna minor)\augmented_image_91.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7870664,True
Common Duckweeds (Lemna minor)\augmented_image_910.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8028625,True
Common Duckweeds (Lemna minor)\augmented_image_911.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80527717,True
Common Duckweeds (Lemna minor)\augmented_image_912.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8028625,True
Common Duckweeds (Lemna minor)\augmented_image_913.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8028625,True
Common Duckweeds (Lemna minor)\augmented_image_914.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79303145,True
Common Duckweeds (Lemna minor)\augmented_image_915.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7937055,True
Common Duckweeds (Lemna minor)\augmented_image_916.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7963543,True
Common Duckweeds (Lemna minor)\augmented_image_917.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78782105,True
Common Duckweeds (Lemna minor)\augmented_image_918.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79111105,True
Common Duckweeds (Lemna minor)\augmented_image_919.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8099065,True
Common Duckweeds (Lemna minor)\augmented_image_92.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78718436,True
Common Duckweeds (Lemna minor)\augmented_image_920.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8093446,True
Common Duckweeds (Lemna minor)\augmented_image_921.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80521536,True
Common Duckweeds (Lemna minor)\augmented_image_922.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7930316,True
Common Duckweeds (Lemna minor)\augmented_image_923.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7936505,True
Common Duckweeds (Lemna minor)\augmented_image_924.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7960798,True
Common Duckweeds (Lemna minor)\augmented_image_925.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7957183,True
Common Duckweeds (Lemna minor)\augmented_image_926.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.81000316,True
Common Duckweeds (Lemna minor)\augmented_image_927.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8016479,True
Common Duckweeds (Lemna minor)\augmented_image_928.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8038832,True
Common Duckweeds (Lemna minor)\augmented_image_929.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79109675,True
Common Duckweeds (Lemna minor)\augmented_image_93.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7871814,True
Common Duckweeds (Lemna minor)\augmented_image_930.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7932945,True
Common Duckweeds (Lemna minor)\augmented_image_931.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7918331,True
Common Duckweeds (Lemna minor)\augmented_image_932.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7950232,True
Common Duckweeds (Lemna minor)\augmented_image_933.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7980465,True
Common Duckweeds (Lemna minor)\augmented_image_934.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7988663,True
Common Duckweeds (Lemna minor)\augmented_image_935.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80693203,True
Common Duckweeds (Lemna minor)\augmented_image_936.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79836017,True
Common Duckweeds (Lemna minor)\augmented_image_937.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8092155,True
Common Duckweeds (Lemna minor)\augmented_image_938.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7958048,True
Common Duckweeds (Lemna minor)\augmented_image_939.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79602426,True
Common Duckweeds (Lemna minor)\augmented_image_94.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7843916,True
Common Duckweeds (Lemna minor)\augmented_image_940.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79612696,True
Common Duckweeds (Lemna minor)\augmented_image_941.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79580045,True
Common Duckweeds (Lemna minor)\augmented_image_942.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7869168,True
Common Duckweeds (Lemna minor)\augmented_image_943.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78998876,True
Common Duckweeds (Lemna minor)\augmented_image_944.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7896724,True
Common Duckweeds (Lemna minor)\augmented_image_945.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79099774,True
Common Duckweeds (Lemna minor)\augmented_image_946.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78809464,True
Common Duckweeds (Lemna minor)\augmented_image_947.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7908157,True
Common Duckweeds (Lemna minor)\augmented_image_948.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78920734,True
Common Duckweeds (Lemna minor)\augmented_image_949.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7900349,True
Common Duckweeds (Lemna minor)\augmented_image_95.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7942605,True
Common Duckweeds (Lemna minor)\augmented_image_950.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7889208,True
Common Duckweeds (Lemna minor)\augmented_image_951.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79185647,True
Common Duckweeds (Lemna minor)\augmented_image_952.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79041266,True
Common Duckweeds (Lemna minor)\augmented_image_953.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79065794,True
Common Duckweeds (Lemna minor)\augmented_image_954.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78820926,True
Common Duckweeds (Lemna minor)\augmented_image_955.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78820926,True
Common Duckweeds (Lemna minor)\augmented_image_956.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7869839,True
Common Duckweeds (Lemna minor)\augmented_image_957.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7871011,True
Common Duckweeds (Lemna minor)\augmented_image_958.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7846455,True
Common Duckweeds (Lemna minor)\augmented_image_959.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7841031,True
Common Duckweeds (Lemna minor)\augmented_image_96.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79392165,True
Common Duckweeds (Lemna minor)\augmented_image_960.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78690314,True
Common Duckweeds (Lemna minor)\augmented_image_961.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.78698975,True
Common Duckweeds (Lemna minor)\augmented_image_962.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7856245,True
Common Duckweeds (Lemna minor)\augmented_image_963.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79482764,True
Common Duckweeds (Lemna minor)\augmented_image_964.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79063517,True
Common Duckweeds (Lemna minor)\augmented_image_965.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79991883,True
Common Duckweeds (Lemna minor)\augmented_image_966.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7997712,True
Common Duckweeds (Lemna minor)\augmented_image_967.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79708815,True
Common Duckweeds (Lemna minor)\augmented_image_968.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79136175,True
Common Duckweeds (Lemna minor)\augmented_image_969.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7913865,True
Common Duckweeds (Lemna minor)\augmented_image_97.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7975648,True
Common Duckweeds (Lemna minor)\augmented_image_970.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79015756,True
Common Duckweeds (Lemna minor)\augmented_image_971.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79068404,True
Common Duckweeds (Lemna minor)\augmented_image_972.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7935234,True
Common Duckweeds (Lemna minor)\augmented_image_973.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7914197,True
Common Duckweeds (Lemna minor)\augmented_image_974.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.82470906,True
Common Duckweeds (Lemna minor)\augmented_image_975.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.81208575,True
Common Duckweeds (Lemna minor)\augmented_image_976.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.82227075,True
Common Duckweeds (Lemna minor)\augmented_image_977.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.82470906,True
Common Duckweeds (Lemna minor)\augmented_image_978.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7999515,True
Common Duckweeds (Lemna minor)\augmented_image_979.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80511296,True
Common Duckweeds (Lemna minor)\augmented_image_98.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79431504,True
Common Duckweeds (Lemna minor)\augmented_image_980.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80511296,True
Common Duckweeds (Lemna minor)\augmented_image_981.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8073335,True
Common Duckweeds (Lemna minor)\augmented_image_982.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8027838,True
Common Duckweeds (Lemna minor)\augmented_image_983.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80372036,True
Common Duckweeds (Lemna minor)\augmented_image_984.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8059718,True
Common Duckweeds (Lemna minor)\augmented_image_985.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80372036,True
Common Duckweeds (Lemna minor)\augmented_image_986.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.811507,True
Common Duckweeds (Lemna minor)\augmented_image_987.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8210453,True
Common Duckweeds (Lemna minor)\augmented_image_988.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.82096964,True
Common Duckweeds (Lemna minor)\augmented_image_989.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.81022394,True
Common Duckweeds (Lemna minor)\augmented_image_99.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80463815,True
Common Duckweeds (Lemna minor)\augmented_image_990.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79256564,True
Common Duckweeds (Lemna minor)\augmented_image_991.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79006577,True
Common Duckweeds (Lemna minor)\augmented_image_992.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7887037,True
Common Duckweeds (Lemna minor)\augmented_image_993.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.81132925,True
Common Duckweeds (Lemna minor)\augmented_image_994.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80645496,True
Common Duckweeds (Lemna minor)\augmented_image_995.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8113509,True
Common Duckweeds (Lemna minor)\augmented_image_996.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.80577195,True
Common Duckweeds (Lemna minor)\augmented_image_997.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.8023533,True
Common Duckweeds (Lemna minor)\augmented_image_998.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.79171526,True
Common Duckweeds (Lemna minor)\augmented_image_999.jpg,Common Duckweeds (Lemna minor),Common Duckweeds (Lemna minor),0.7889296,True
Common Water Hyacinth (Eichornia crassipes)\augmented_image_10.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.785945,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_100.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.78626263,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_1000.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7966366,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_1001.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7934054,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_101.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7859444,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_102.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7859444,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_103.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.78894746,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_104.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7875165,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_105.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.79060316,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_106.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7890161,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_107.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7898747,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_108.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7888726,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_109.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.78950393,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_11.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7879311,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_110.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.78644127,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_111.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.78644127,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_112.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7893426,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_113.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.79769254,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_114.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.794252,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_115.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7853522,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_116.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.78575826,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_117.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7914574,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_118.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7940625,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_119.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7914823,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_12.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7873051,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_120.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7917173,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_121.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.79980636,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_122.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.79810584,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_123.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.78948504,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_124.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.78685606,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_125.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7894955,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_126.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.78685606,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_127.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7873684,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_128.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7862569,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_129.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7873684,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_13.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7875686,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_130.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.788182,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_131.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7881579,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_132.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.78708404,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_133.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7859445,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_134.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.78728026,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_135.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7934162,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_136.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7935944,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_137.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7906939,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_138.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.80072683,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_139.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.80072683,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_14.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7844198,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_140.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.8038875,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_141.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.789793,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_142.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7999238,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_143.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7906832,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_144.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7909511,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_145.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7906832,False
Common Water Hyacinth (Eichornia crassipes)\augmented_image_146.jpg,Common Water Hyacinth (Eichornia crassipes),Common Duckweeds (Lemna minor),0.7913726,False
